38 2276 6414 1448 0 
118 2227 6537 2037 85 
165 3783 6590 1978 0 
204 1423 5901 2496 0 
0 2626 6486 2510 0 
0 2462 4890 2436 0 
55 2336 6821 2251 215 
0 3207 6652 1403 540 
152 2537 6808 1602 87 
32 2604 7158 1744 0 
287 2329 6686 2322 10 
60 1668 5616 3086 0 
83 1964 6006 2797 10 
44 1734 5065 3189 72 
0 2164 7240 926 0 
0 2133 5421 1570 166 
45 1525 4693 2833 144 
141 1729 6386 1016 0 
0 1006 7111 4397 538 
425 1400 5505 2060 0 
0 2312 6215 2556 377 
0 1569 6549 2935 127 
90 2069 7120 1666 97 
49 1202 7164 1385 0 
11 2112 5420 1835 82 
54 2506 4897 4209 76 
193 2355 5722 2002 102 
250 2368 6847 1054 27 
0 2699 5945 2844 0 
266 1648 4872 1136 94 
223 2293 6602 2763 25 
41 1482 5127 2407 35 
78 2207 5923 1095 27 
45 2465 5468 1480 0 
356 1934 7663 2539 0 
0 1234 6691 2873 0 
0 1009 6205 3023 15 
0 1110 7684 1148 280 
0 3400 6692 1839 9 
0 2114 6689 1725 20 
59 1756 7453 1370 0 
0 2406 5239 2429 0 
0 1093 7087 1684 0 
0 2106 5851 1678 547 
98 1840 6505 1689 170 
369 2414 5069 2553 193 
0 2052 5813 3456 249 
9 1063 4872 2279 39 
69 1196 6825 1716 406 
209 1704 8274 2405 0 
528 2510 6570 1232 14 
83 1987 7248 1884 0 
0 1478 6797 1129 0 
7 1974 5018 2170 239 
86 1731 6993 2303 5 
9 2451 6714 2005 25 
366 1877 5755 1540 0 
0 1862 6292 2324 64 
41 1270 6596 2076 121 
3 2651 5899 2145 0 
0 2296 5839 2393 344 
160 1151 7436 1583 0 
44 2139 6658 1403 0 
0 2596 6023 1893 0 
565 2360 5343 2131 93 
0 1640 5957 1857 108 
0 2055 7072 2389 0 
119 2251 6240 564 0 
243 2744 5621 2856 294 
40 2148 6250 1865 11 
0 1595 5647 2487 1 
106 3588 4832 1289 95 
106 3189 5884 2097 0 
64 1782 6680 1770 0 
313 2979 5215 2289 116 
0 1950 5892 2020 0 
0 1957 5416 1043 0 
13 2334 5412 2133 0 
0 2036 4769 1783 0 
98 2379 6819 1872 0 
485 925 8010 3132 68 
89 2115 6426 1505 339 
0 2254 6844 3360 0 
0 2381 7305 796 2 
0 2074 8071 2119 6 
0 1086 6827 2023 0 
0 2008 7605 1763 0 
0 1184 8019 2057 0 
311 2744 5758 2584 125 
0 2275 6577 2147 17 
0 1375 5798 2351 80 
16 619 6069 3076 388 
0 2225 5380 2062 51 
133 2134 7793 1860 82 
3 1670 5621 3621 11 
15 1881 5946 1074 0 
417 2418 5578 1945 158 
5 3282 4961 2042 0 
149 988 6764 1338 313 
286 2247 5855 2363 41 
0 1569 5407 2022 0 
8 1808 5726 3258 508 
0 1543 7239 1853 129 
192 2310 7953 2013 42 
0 2286 5811 1467 16 
0 1143 6717 1862 0 
69 1090 6443 2464 0 
0 1826 6525 2495 0 
28 1775 6960 2323 118 
0 2009 5220 1636 249 
220 2258 6290 3026 0 
0 816 4915 3271 0 
0 1325 5567 2380 768 
15 1048 7168 2643 0 
154 2395 5730 871 0 
0 1651 6435 1730 80 
35 1287 6435 1501 38 
0 3191 5828 2595 4 
3 2196 5671 3474 0 
261 2659 5278 3189 19 
9 1545 6515 2441 12 
114 1274 6278 2585 51 
290 3492 6777 1729 0 
107 1147 5430 1282 0 
136 2511 5759 1517 9 
88 1380 6164 2098 0 
0 2080 7605 1030 75 
680 2289 6750 2177 0 
583 3258 5427 2494 0 
169 2423 7083 1615 0 
41 2386 5923 2082 4 
0 2742 6083 1498 37 
278 3050 5090 2002 22 
255 1365 6301 2713 286 
112 1853 7872 1991 96 
133 1649 7069 1935 50 
251 1863 6979 2368 123 
4 1870 6665 2343 60 
45 2900 6553 1130 0 
0 2687 5589 1425 263 
0 1879 5705 2394 168 
67 2989 7040 1164 0 
0 1506 5721 2813 90 
0 1618 5438 1680 0 
243 2604 6184 2156 195 
465 2120 5718 3611 26 
25 2185 6323 1687 0 
0 2059 7963 1621 3 
79 2383 5357 1567 236 
0 1265 5758 2305 0 
0 1603 7217 2037 509 
0 1479 5348 1994 109 
33 4148 5896 1615 0 
5 2918 6189 2238 8 
0 3449 6100 2269 198 
113 3383 5918 2834 6 
0 791 5292 2674 13 
8 1284 8973 2401 0 
114 2635 4931 2907 87 
93 1350 6156 1457 0 
164 2614 7656 1450 366 
48 2031 6873 2070 184 
6 2135 6042 2302 9 
444 2348 6112 1760 0 
48 2770 6620 2054 0 
0 2453 5909 2376 28 
0 1346 5355 3395 794 
183 1791 6924 2062 0 
0 2390 5623 1845 762 
40 3072 8093 951 296 
0 1668 4920 974 0 
100 2415 5666 3227 118 
23 3543 5916 1662 134 
463 1470 6802 1993 0 
0 1763 7093 2523 113 
60 1517 5832 2059 332 
33 1999 6421 1887 0 
36 1341 6483 2310 602 
308 2300 5281 2439 0 
0 1543 5106 2847 0 
124 1781 5528 2113 0 
0 3011 5364 1919 0 
0 2606 5984 2225 121 
1 3067 5029 1723 180 
0 2479 5612 3205 358 
0 1993 7375 1621 35 
52 2778 5926 1582 0 
101 994 4705 3119 1 
0 2632 5938 1014 0 
0 1139 6348 2096 153 
40 2423 6574 1645 340 
0 2764 6209 1895 124 
0 1902 6501 2238 53 
643 1139 6057 2715 0 
253 2534 6422 1260 175 
283 2932 6321 1815 485 
181 3079 6011 2157 308 
134 2057 5965 2293 115 
59 1755 6502 842 0 
45 1912 5998 1993 124 
15 2036 7175 2725 63 
0 2083 5614 3482 239 
0 1840 5906 1808 0 
183 1787 6332 3215 215 
60 2760 7367 2130 21 
0 1961 5410 2201 40 
159 2403 5810 1801 15 
0 2434 6752 1618 160 
231 2172 4886 823 0 
188 2002 6383 754 167 
257 1890 5877 2900 0 
0 2315 6779 2553 183 
486 1890 8035 3117 0 
0 3072 5052 3774 0 
0 2661 8034 825 0 
452 2679 6016 1057 0 
0 3120 6291 2141 224 
122 2572 5890 1686 78 
74 2056 7086 1522 20 
79 870 7133 3484 180 
0 1916 6864 2409 137 
0 2207 7558 1531 640 
231 3218 5934 1729 0 
0 2515 6028 1255 0 
39 1083 6285 2201 0 
37 2625 6154 2628 76 
0 1651 6607 1529 307 
0 2407 7127 1352 0 
160 1392 6835 1774 105 
68 2053 4772 1822 191 
113 1822 6331 1428 390 
0 2567 4977 3092 0 
53 1488 5715 4042 68 
225 2958 5897 534 286 
0 3309 5704 2045 78 
0 2360 6192 1661 19 
109 1555 5555 2469 24 
186 2541 5879 1632 0 
15 1980 7804 2173 10 
0 987 6286 1747 88 
0 2009 7029 1210 0 
24 3521 5408 1542 41 
0 847 7251 2036 168 
859 1968 5823 1807 9 
0 2517 7072 1971 0 
133 2935 6763 1560 73 
0 1653 4997 2844 200 
36 2001 6227 2416 0 
310 2036 5400 2139 93 
165 2751 8121 1063 20 
63 2569 5073 2881 0 
386 2441 7143 1900 0 
67 2552 6720 1988 89 
0 2341 5492 3157 440 
56 2343 6351 1990 0 
0 1565 5329 2952 54 
149 3157 5443 2718 153 
19 3296 6086 1508 9 
0 2524 4999 1680 545 
0 1508 5310 2752 0 
70 1086 7922 1044 16 
1376 2823 7184 1749 38 
362 1859 6964 805 0 
0 2985 5510 2257 12 
0 1457 5331 2120 0 
0 1478 6664 3324 210 
273 2449 6728 1282 266 
472 790 6878 1795 15 
118 2049 6137 1591 89 
0 2303 6301 1866 0 
2 2466 5889 2221 124 
128 1610 5826 2203 149 
12 2439 4151 1674 0 
11 1805 5806 1783 79 
27 1914 6642 1833 32 
113 1417 5810 2330 526 
0 2495 7370 2516 355 
239 2041 7356 1637 23 
0 1967 6678 2124 87 
0 1876 7642 1264 132 
14 1627 6265 1853 529 
47 3113 5120 2635 47 
14 2273 5865 2078 0 
182 1996 6446 1978 0 
150 1946 6044 2360 0 
106 2664 6366 1831 257 
89 3086 6069 1474 124 
133 2237 6512 2500 172 
0 2246 6511 1277 214 
45 1913 7619 1303 0 
410 1146 6885 2619 396 
0 1828 7433 2397 216 
431 2690 5918 1871 1160 
557 1340 6370 3121 12 
84 1938 7284 2166 0 
198 2090 7600 2406 0 
21 1822 6087 1943 5 
0 1249 6908 3752 13 
376 1855 7547 2556 12 
0 2023 6780 3185 0 
0 2000 6881 3126 87 
0 2239 5163 2679 57 
210 1833 6146 2305 512 
0 2146 6909 2583 0 
68 3266 5818 2137 1 
0 2034 6567 1785 0 
192 2774 7869 2159 0 
19 1634 5380 3154 173 
277 2267 7155 2184 801 
559 2438 7162 1235 24 
0 2449 5727 1268 0 
428 1124 6597 1815 38 
0 1624 5947 1992 121 
0 864 6325 735 290 
20 2634 5625 1448 11 
0 1933 6626 2353 0 
80 2124 6357 2639 0 
37 2516 6200 2030 269 
0 1938 5406 2625 201 
206 1823 6456 2513 0 
0 2453 4912 2662 295 
189 3028 7564 3486 129 
48 2358 4866 2583 37 
0 1772 5590 2641 135 
0 2540 6771 1476 81 
46 2076 6266 2528 670 
0 1372 5795 2526 105 
49 2177 6546 2464 0 
1 2164 8171 2282 0 
102 2418 6381 1425 106 
0 1055 8278 1803 10 
0 1564 6195 1907 28 
0 1621 6696 1189 0 
87 2403 7595 1679 0 
57 1619 6624 1726 18 
111 2408 8623 1335 7 
0 3253 6576 1415 0 
0 2074 6555 1866 15 
151 2549 5991 917 0 
0 1488 6299 2389 410 
0 1604 5626 3132 2 
547 1915 5601 3450 13 
0 2350 5781 1322 211 
218 2453 6589 2016 312 
0 3583 7114 2391 96 
0 2866 6445 667 0 
0 2703 6452 1178 115 
18 2945 5983 1318 0 
29 1828 6448 2887 0 
13 1969 5063 1565 0 
0 2649 8054 2662 25 
0 1910 5271 2528 119 
0 1112 7908 1361 3 
51 2292 4879 1221 431 
30 2002 6293 2837 12 
215 2789 6218 1765 5 
0 1774 6332 1213 39 
0 1271 5938 2693 0 
276 3321 6153 2764 0 
27 625 7228 3824 0 
215 1567 4365 1824 465 
23 2669 6006 1924 0 
7 1139 6948 2685 57 
377 1887 5198 2712 6 
0 2266 6133 2252 25 
0 2931 7654 1613 0 
0 1560 5728 2204 4 
